Run Time,msg,node,topics
0.239543182,VGR is Moving to HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
0.3467988498,HBW Recieved an Order,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
11.15291861,HBW Picked Up Material,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
28.81449988,HBW Placed Material on Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
36.88689713,VGR Picked Up Material from HBW,/hbw_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
36.99650363,VGR is Moving to MPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
38.95504521,HBW Material is Picked by VGR,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
41.14365255,Empty Box is Ready for HBW Pick Up,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
41.690739,HBW Picked up the Empty Box from the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
51.61675449,VGR Dropped Material at MPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
59.01741185,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
67.39382653,HBW Empty Box is Back on the Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
67.41870277,Status Updated Successfully,/hbw_node,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied"
70.93462919,HBW Robot is Set to Home,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
108.3538275,VGR Received an Order at the BLUE Topic,/sld_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
133.643439,VGR Dropped Material at DPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
141.2655774,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
141.3134805,Order is ready for pick up,/listener,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off "
141.5576442,Calling Cobot for picking,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
185.4340707,Blue order is ready for pick up,/lego_node,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off "
185.437537,Calling Cobot for blue Pick up,/lego_node,"/diagnostics, /lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout "
210.4650758,VGR is Picking Up Material from in-Processing Unit,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
221.6939082,VGR is Moving to DPS Color Sensor,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
226.1907735,DPS Detected Blue Object,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
226.3912771,Published Return Position,/status_update,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied"
235.6352763,VGR is Moving to HBW,/Order,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
242.8997786,HBW Picked Empty Box from The Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
260.1496475,HBW Placed Box on the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
260.7655592,VGR Dropped Material at HBW,/hbw_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
267.1938783,HBW Material is Dropped by VGR,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
269.1846518,Material is Ready for HBW Pick Up,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
269.7758101,HBW Picked up Material from the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
271.2094298,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
287.9520979,HBW Placed Material on the Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
287.9654263,Status Updated Successfully,/hbw_node,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied"
299.1207999,HBW Robot is Set to Home,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
